City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,geraldton,-28.7667,114.6,19.23,72,5,6.17,AU,1728582423
83,mount gambier,-37.8333,140.7667,7.38,79,20,2.06,AU,1728582424
84,vila franca do campo,37.7167,-25.4333,22.23,87,38,11.37,PT,1728582425
85,molochnyy,68.8539,33.0205,3.31,81,75,5.0,RU,1728582427
86,st. john's,47.5649,-52.7093,13.87,93,75,3.09,CA,1728582428
87,ndele,8.4109,20.6473,22.68,93,38,0.75,CF,1728582318
88,longyearbyen,78.2186,15.6401,4.91,70,75,9.26,SJ,1728582432
89,manavalakurichi,8.1333,77.3,24.91,89,92,6.85,IN,1728582433
90,wailua homesteads,22.0669,-159.378,25.44,94,75,6.17,US,1728582434
91,warwick,41.7001,-71.4162,16.36,52,40,5.14,US,1728582208
92,ixtapa,20.7,-105.2,30.68,74,20,3.6,MX,1728582436
93,calvi,42.5,8.8333,16.35,63,20,9.77,FR,1728582437
94,boa vista,2.8197,-60.6733,32.99,43,75,4.63,BR,1728582438
95,nizhneudinsk,54.9076,99.0276,-0.71,81,84,1.09,RU,1728582439
96,colonia,50.9333,6.95,12.71,85,75,2.06,DE,1728582328
97,yamada,39.4667,141.95,12.37,93,98,2.87,JP,1728582442
98,ubari,26.5921,12.7805,33.66,16,2,4.3,LY,1728582443
99,praia da vitoria,38.7333,-27.0667,23.14,73,40,11.58,PT,1728582444
100,hilo,19.7297,-155.09,23.95,94,100,0.89,US,1728582209
101,edinburgh of the seven seas,-37.0676,-12.3116,12.33,78,59,15.09,SH,1728582446
102,minas de marcona,-15.2119,-75.1103,16.99,66,58,9.44,PE,1728582447
103,cabo san lucas,22.8909,-109.9124,30.84,75,40,5.66,MX,1728582189
104,puerto natales,-51.7236,-72.4875,8.25,57,75,9.26,CL,1728582196
105,la'ie,21.6477,-157.9253,26.7,85,24,0.89,US,1728582450
106,al mijlad,11.0333,27.7333,30.12,49,76,3.93,SD,1728582452
107,deming,32.2687,-107.7586,27.94,17,0,3.6,US,1728582453
108,magong,23.5654,119.5863,24.68,74,0,12.62,TW,1728582454
109,mindelo,16.8901,-24.9804,27.75,65,20,15.95,CV,1728582456
110,chifeng,42.2683,118.9636,9.01,46,1,3.94,CN,1728582457
111,humaita,-7.5061,-63.0208,35.63,36,100,0.55,BR,1728582459
112,yellowknife,62.456,-114.3525,3.56,100,75,1.54,CA,1728582460
113,lamu,-2.2717,40.902,25.02,83,9,5.73,KE,1728582461
114,corn island,12.1694,-83.0418,28.01,76,97,5.65,NI,1728582462
115,sandnessjoen,66.0217,12.6316,6.06,70,75,4.12,NO,1728582463
116,kondoa,-4.9,35.7833,21.66,50,91,4.36,TZ,1728582464
117,sterling,39.0062,-77.4286,17.96,50,20,5.66,US,1728582466
118,dakhla,23.6848,-15.958,23.01,73,0,6.69,EH,1728582467
119,basni,27.1667,73.65,29.31,22,2,4.36,IN,1728582468
120,gokceada,40.2011,25.909,21.91,89,21,6.14,TR,1728582469
121,qaisumah,28.3112,46.1273,28.98,23,0,3.09,SA,1728582471
122,zmiyevka,52.6697,36.3739,11.35,68,96,3.65,RU,1728582472
123,los angeles,34.0522,-118.2437,23.72,75,40,2.57,US,1728582227
124,santiago,-33.4569,-70.6483,20.8,70,75,6.17,CL,1728581889
125,pisco,-13.7,-76.2167,19.45,77,0,4.63,PE,1728582475
126,yaren,-0.5472,166.916,28.17,70,61,5.39,NR,1728582476
127,miandrivazo,-19.5167,45.4667,27.02,51,57,1.25,MG,1728582478
128,rongelap,11.1635,166.8941,26.47,85,100,6.26,MH,1728582479
129,naze,28.3667,129.4833,19.51,78,1,2.03,JP,1728582480
130,al kharijah,25.4514,30.5464,29.18,27,0,4.95,EG,1728582481
131,puerto baquerizo moreno,-0.9,-89.6,23.55,88,40,33.44,EC,1728582482
132,hadibu,12.65,54.0333,26.28,78,23,1.27,YE,1728582484
133,derbent,42.0678,48.2899,18.01,70,91,0.8,RU,1728582485
134,oranjemund,-28.55,16.4333,15.8,76,29,3.6,NA,1728582486
135,puerto san jose,13.9256,-90.8244,28.88,74,80,4.68,GT,1728582487
136,byron bay,-28.65,153.6167,16.91,85,97,1.29,AU,1728582489
137,freeport,40.6576,-73.5832,16.99,47,20,4.12,US,1728582433
138,pyetrykaw,52.1289,28.4921,16.03,73,0,4.95,BY,1728582491
139,lubny,50.0163,32.9969,15.7,62,75,3.8,UA,1728582492
140,port shepstone,-30.7414,30.455,21.55,87,39,8.83,ZA,1728582493
141,jose de freitas,-4.7564,-42.5756,41.07,16,54,2.03,BR,1728582495
142,goundi,9.3627,17.366,23.41,84,65,1.05,TD,1728582496
143,saint ann's bay,18.4358,-77.201,30.8,66,44,3.29,JM,1728582497
144,badger,64.8,-147.5333,-0.57,90,100,2.57,US,1728582266
145,karasburg,-28.0167,18.75,27.77,12,55,5.47,NA,1728582499
146,antalaha,-14.9003,50.2788,22.89,77,50,5.0,MG,1728582500
147,brookings,44.3114,-96.7984,26.36,48,7,6.39,US,1728582278
148,laojunmiao,39.8333,97.7333,9.12,39,50,0.59,CN,1728582502
149,port elizabeth,-33.918,25.5701,17.16,92,20,11.83,ZA,1728582412
150,kyelang,32.5833,77.0333,0.48,81,16,0.81,IN,1728582504
151,blackmans bay,-43.0167,147.3167,9.29,62,80,0.45,AU,1728582506
152,hamilton,39.1834,-84.5333,21.08,43,0,2.57,US,1728582334
153,haiku-pauwela,20.9219,-156.3051,25.67,84,72,3.58,US,1728582355
154,strathalbyn,-35.2667,138.9,8.25,90,45,1.96,AU,1728582510
155,susuman,62.7833,148.1667,-14.7,94,38,0.79,RU,1728582511
156,qaqortoq,60.7167,-46.0333,1.98,89,52,6.72,GL,1728582240
157,kununurra,-15.7667,128.7333,25.99,73,59,2.06,AU,1728582513
158,tadine,-21.55,167.8833,21.41,74,100,4.87,NC,1728582514
159,ulladulla,-35.35,150.4667,12.88,81,75,2.66,AU,1728582515
160,beyla,8.6833,-8.6333,22.94,93,60,1.61,GN,1728582516
161,vernon,50.2581,-119.2691,11.36,59,62,2.57,CA,1728582518
162,nchelenge,-9.3451,28.734,23.72,64,90,5.03,ZM,1728582519
163,popondetta,-8.7537,148.2534,22.52,96,85,1.33,PG,1728582520
164,tromso,69.6496,18.957,6.01,65,75,7.2,NO,1728582521
165,hinton,53.4001,-117.5857,8.2,64,72,1.66,CA,1728582522
166,wanning,18.8003,110.3967,23.71,94,44,2.79,CN,1728582523
167,keflavik,64.0049,-22.5624,1.24,69,40,7.72,IS,1728582524
168,kolonia,50.9333,6.95,12.71,85,75,2.06,DE,1728582525
169,mitchell,43.7094,-98.0298,25.65,41,0,3.6,US,1728582480
170,souillac,-20.5167,57.5167,23.21,78,40,5.14,MU,1728582446
171,katsuren-haebaru,26.3369,127.8719,23.01,85,0,0.0,JP,1728582528
172,weno,7.4515,151.8468,26.97,83,100,1.54,FM,1728582530
173,waddan,29.1614,16.139,34.27,16,57,3.45,LY,1728582531
174,tsiombe,-25.3,45.4833,22.41,77,0,4.25,MG,1728582532
175,klyuchi,52.2667,79.1667,7.6,44,100,6.9,RU,1728582533
176,vorgashor,67.5833,63.95,-9.16,97,21,0.41,RU,1728582534
177,hobyo,5.3505,48.5268,25.83,83,84,10.52,SO,1728582535
178,avarua,-21.2078,-159.775,23.03,73,40,5.14,CK,1728582536
